Município;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
352140 Iracemápolis;6;7;7;7;7;12;11;7;9;9;9;11;9;8;9;3;9;7;9;156
352150 Irapuã;2;1;5;4;7;4;6;5;2;3;1;1;3;4;5;6;8;3;5;75
352160 Irapuru;2;7;3;7;3;7;6;5;3;5;4;6;3;5;4;5;1;4;3;83
352170 Itaberá;9;13;13;15;11;14;12;7;12;11;9;9;9;8;11;24;9;11;8;215
352180 Itaí;11;11;16;8;14;19;23;19;13;11;14;21;16;19;13;21;10;15;24;298
352190 Itajobi;7;10;7;8;14;6;10;12;6;6;2;6;5;9;7;12;15;13;11;166
352200 Itaju;1;1;3;5;-;1;-;1;-;2;1;2;2;3;2;2;-;1;3;30
352210 Itanhaém;89;90;72;89;70;84;92;78;78;70;73;54;74;55;79;66;74;78;68;1433
352215 Itaóca;1;1;4;-;3;1;-;-;-;1;3;3;1;3;1;2;-;1;23;48
352220 Itapecerica da Serra;212;203;217;232;178;248;213;197;182;143;123;98;111;127;96;102;99;115;87;2983
352230 Itapetininga;84;96;73;88;105;79;106;90;108;89;79;90;83;80;85;87;90;95;102;1709
352240 Itapeva;59;45;44;54;53;41;45;66;51;39;32;42;70;47;65;49;41;37;47;927
352250 Itapevi;164;176;176;217;188;198;171;174;140;144;142;122;102;104;128;106;129;131;132;2844
352260 Itapira;57;55;49;61;69;43;57;63;43;52;39;48;35;35;34;36;38;47;47;908
352265 Itapirapuã Paulista;2;1;4;2;3;3;1;2;1;4;3;2;1;2;2;1;4;-;-;38
352270 Itápolis;14;20;23;17;28;26;23;25;28;20;22;20;17;30;30;26;25;36;29;459
352280 Itaporanga;9;9;8;16;7;15;7;15;13;21;7;6;8;6;8;13;9;6;7;190
352290 Itapuí;1;6;10;4;3;6;7;3;9;7;6;7;9;6;7;12;6;6;6;121
352300 Itapura;7;5;3;5;3;-;4;4;4;1;2;1;1;4;-;4;2;6;3;59
352310 Itaquaquecetuba;313;316;319;369;360;353;356;307;282;232;221;163;185;201;184;209;181;199;216;4966
352320 Itararé;26;32;26;27;35;31;37;35;31;33;43;35;33;23;19;23;25;26;20;560
352330 Itariri;20;20;13;12;13;16;10;17;12;25;9;9;7;9;7;11;14;8;11;243
352340 Itatiba;51;48;65;40;52;52;79;64;62;62;64;57;57;46;55;56;48;45;57;1060
352350 Itatinga;11;10;13;8;9;12;14;10;10;12;6;6;13;9;8;11;11;8;11;192
352360 Itirapina;11;10;13;9;9;15;8;9;12;12;5;9;10;11;6;13;9;8;14;193
352370 Itirapuã;1;2;3;2;2;-;-;-;4;12;4;2;3;4;1;1;4;1;4;50
352380 Itobi;5;2;4;2;3;2;7;4;4;5;1;5;1;7;3;3;5;1;5;69
